---,Platforms,LocaleString,TermsType,LanguageString,TermsAddress,Notes
1,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","en-US;en-GB","tos/ToS_EU_en.json","file ready"
2,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","fr","tos/ToS_EU_fr-FR.json","file ready"
3,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","de","tos/ToS_EU_de-DE.json","file ready"
4,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","it","tos/ToS_EU_it-IT.json","file ready"
5,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","ru","tos/ToS_EU_ru.json","file ready"
6,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","pt-BR","tos/PCTermsOfService.json","needs loc"
7,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","es","tos/ToS_EU_es.json","file ready"
8,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","zh-Hans","tos/PCTermsOfService.json","needs loc"
9,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","zh-Hant","tos/PCTermsOfService.json","needs loc"
10,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","ja","tos/PCTermsOfService.json","needs loc"
11,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","TermsOfService","any","tos/ToS_EU_en.json","fallback"
12,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","en-US;en-GB","tos/PP_EU_en.json","file ready"
13,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","fr","tos/PCPrivacyPolicy.json","needs loc"
14,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","de","tos/PCPrivacyPolicy.json","needs loc"
15,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","it","tos/PCPrivacyPolicy.json","needs loc"
16,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","ru","tos/PCPrivacyPolicy.json","needs loc"
17,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","pt-BR","tos/PCPrivacyPolicy.json","needs loc"
18,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","es","tos/PCPrivacyPolicy.json","needs loc"
19,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","zh-Hans","tos/PCPrivacyPolicy.json","needs loc"
20,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","zh-Hant","tos/PCPrivacyPolicy.json","needs loc"
21,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","ja","tos/PCPrivacyPolicy.json","needs loc"
22,"","cs;da;de;el;en-GB;es;fi;fr;hu;it;nl;no;pl;pt;ro;sv","PrivacyPolicy","any","tos/PP_EU_en.json","fallback"
23,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","en-US;en-GB","tos/ToS_US_en.json","file ready"
24,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","fr","tos/PCTermsOfService.json","needs loc"
25,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","de","tos/PCTermsOfService.json","needs loc"
26,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","it","tos/PCTermsOfService.json","needs loc"
27,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","ru","tos/PCTermsOfService.json","needs loc"
28,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","pt-BR","tos/PCTermsOfService.json","needs loc"
29,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","es","tos/PCTermsOfService.json","needs loc"
30,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","zh-Hans","tos/PCTermsOfService.json","needs loc"
31,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","zh-Hant","tos/PCTermsOfService.json","needs loc"
32,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","ja","tos/PCTermsOfService.json","needs loc"
33,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","TermsOfService","any","tos/ToS_US_en.json","fallback"
34,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","en-US;en-GB","tos/PP_US_en.json","file ready"
35,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","fr","tos/PCPrivacyPolicy.json","needs loc"
36,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","de","tos/PCPrivacyPolicy.json","needs loc"
37,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","it","tos/PCPrivacyPolicy.json","needs loc"
38,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","ru","tos/PCPrivacyPolicy.json","needs loc"
39,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","pt-BR","tos/PCPrivacyPolicy.json","needs loc"
40,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","es","tos/PCPrivacyPolicy.json","needs loc"
41,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","zh-Hans","tos/PCPrivacyPolicy.json","needs loc"
42,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","zh-Hant","tos/PCPrivacyPolicy.json","needs loc"
43,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","ja","tos/PCPrivacyPolicy.json","needs loc"
44,"","ar;en;en-US;es-419;fr-CA;id;ja;ko;pt-BR;ru;th;tr;vi;zh-Hant;zh-Hans","PrivacyPolicy","any","tos/PP_US_en.json","fallback"
45,"","","PrivacyPolicy","any","tos/PP_US_en.json","condition-free fallback"
46,"","","TermsOfService","any","tos/ToS_US_en.json","condition-free fallback"